MovieID	IDSubtitleFile	SubLanguageID	IDSubtitle	SubActualCD	SubSumCD	SubFormat	MovieName	MovieYear
29994	1951718462	eng	3166386	1	1	srt	"A Bit of Fry and Laurie" Episode #2.6	1990
29996	1952824929	eng	4146476	1	1	srt	Eddie and the Cruisers	1983
29997	1952510328	eng	3846157	1	1	srt	Untamed Heart	1993
29998	1951718511	eng	3166429	1	1	srt	"Friday Night Lights" Seeing Other People	2007
30000	1951718518	eng	3166435	1	1	srt	"This Is America, Charlie Brown"	1988
30001	1952875833	eng	4192789	1	6	srt	Il capo dei capi	2007
30003	1951831110	eng	3254236	1	1	srt	August Rush	2007
30005	1951720969	eng	3168383	1	1	srt	The Hitman	2003
30015	1951718648	eng	3166527	1	1	srt	I'll See You in My Dreams	2003
30017	1951718775	eng	3166597	1	1	srt	Leyton, El	2002
30020	1951889631	eng	3300592	1	1	srt	The Incredible Hulk	1977
30022	1951731848	eng	3176181	1	1	srt	Adrift in Manhattan	2007
30024	1951729673	eng	3174426	1	1	srt	Sydney White	2007
30025	1951718857	eng	3166671	1	1	srt	Tin Man	2007
30026	1951718865	eng	3166678	1	1	srt	Jeopardy	1953
30030	1952211376	eng	3581072	1	1	srt	Another You	1991
30037	1951953293	eng	3353879	1	2	srt	Baburu e go!! Taimu mashin wa doramu-shiki	2007
30046	1951718998	eng	3166797	1	1	srt	Sangre	2005
30047	1952007514	eng	3400160	1	2	srt	Welt am Draht	1973
30050	1951997850	eng	3391551	1	1	srt	Warbirds of World War II: P-38 Lightning	1997
30051	1951719105	eng	3166884	1	1	srt	American Pie Presents Beta House	2007
30055	1951719114	eng	3166892	1	17	srt	"The Invaders"	1967
30059	1951726761	eng	3172391	1	1	srt	Solstice	2008
30060	1951839018	eng	3260842	1	1	srt	The Deaths of Ian Stone	2007
30062	1951719166	eng	3166926	1	1	srt	Tanging yaman	2000
30063	1951869196	eng	3283727	1	1	srt	Ulysse	1982
